league_code,season,match_date,home_team,away_team,temperature,rainfall,wind_speed,weather_draw_index
E0,2122,2021-08-13,Brentford,Arsenal,21.6,0.0,22.0,1.15
E0,2122,2021-08-14,Man City,Leeds,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Burnley,Brighton,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Chelsea,Crystal Palace,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Everton,Southampton,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Leicester,Wolves,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Watford,Aston Villa,22.6,0.0,16.6,1.15
E0,2122,2021-08-14,Norwich,Liverpool,22.6,0.0,16.6,1.15
E0,2122,2021-08-15,Newcastle,West Ham,21.8,0.0,22.7,1.15
E0,2122,2021-08-15,Tottenham,Man City,21.8,0.0,22.7,1.15
E0,2122,2021-08-21,Liverpool,Burnley,19.4,0.0,9.4,1.094
E0,2122,2021-08-21,Aston Villa,Newcastle,19.4,0.0,9.4,1.094
E0,2122,2021-08-21,Crystal Palace,Brentford,19.4,0.0,9.4,1.094
E0,2122,2021-08-21,Leeds,Everton,19.4,0.0,9.4,1.094
E0,2122,2021-08-21,Man City,Norwich,19.4,0.0,9.4,1.094
E0,2122,2021-08-21,Brighton,Watford,19.4,0.0,9.4,1.094
E0,2122,2021-08-22,Southampton,Man City,20.8,0.0,16.6,1.15
E0,2122,2021-08-22,Wolves,Tottenham,20.8,0.0,16.6,1.15
E0,2122,2021-08-22,Arsenal,Chelsea,20.8,0.0,16.6,1.15
E0,2122,2021-08-23,West Ham,Leicester,20.0,0.0,13.5,1.135
E0,2122,2021-08-28,Man City,Arsenal,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,Aston Villa,Brentford,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,Brighton,Everton,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,Newcastle,Southampton,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,Norwich,Leicester,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,West Ham,Crystal Palace,20.0,0.0,19.3,1.15
E0,2122,2021-08-28,Liverpool,Chelsea,20.0,0.0,19.3,1.15
E0,2122,2021-08-29,Burnley,Leeds,18.3,0.0,15.5,1.15
E0,2122,2021-08-29,Tottenham,Watford,18.3,0.0,15.5,1.15
E0,2122,2021-08-29,Wolves,Man City,18.3,0.0,15.5,1.15
