Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2020-02-29,USA1,Orlando City,New England Revolution,1,3,A,2021,44,649,654,4,-2,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,Nashville SC,2,0,H,2021,44,641,665,2,2,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Seattle Sounders,FC Dallas,1,0,H,2021,44,653,643,1,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Sporting Kansas City,Minnesota United FC,0,3,A,2021,44,656,661,3,-3,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,New England Revolution,1,0,H,2021,44,641,654,1,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Seattle Sounders,Minnesota United FC,3,2,H,2021,44,653,661,5,1,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Columbus Crew,Seattle Sounders,3,0,H,2021,44,641,653,3,3,2020.0,2.0,5.0,0,0
2020-02-29,USA1,Seattle Sounders,Los Angeles FC,3,1,H,2021,44,653,642,4,2,2020.0,2.0,5.0,0,0
2022-02-26,USA1,D.C. United,Chicago Fire,0,2,A,2223,44,645,658,2,-2,2022.0,2.0,5.0,0,0
2022-02-26,USA1,New England Revolution,Real Salt Lake,2,3,A,2223,44,654,662,5,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Orlando City,FC Cincinnati,1,2,A,2223,44,649,660,3,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Philadelphia Union,San Jose Earthquakes,2,0,H,2223,44,640,647,2,2,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Colorado Rapids,Sporting Kansas City,2,0,H,2223,44,659,656,2,2,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Portland Timbers,Austin FC,1,0,H,2223,44,648,644,1,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,Atlanta United FC,Charlotte FC,2,1,H,2223,44,650,664,3,1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,New York City FC,Minnesota United FC,0,1,A,2223,44,651,661,1,-1,2022.0,2.0,5.0,0,0
2022-02-26,USA1,FC Cincinnati,Inter Miami CF,3,1,H,2223,44,660,646,4,2,2022.0,2.0,5.0,0,0
