Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2018-03-03,USA1,Atlanta United FC,New York RB,3,0,H,1819,44,650,4201,3,3,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Sporting Kansas City,Real Salt Lake,4,2,H,1819,44,656,662,6,2,2018.0,3.0,5.0,0,0
2018-03-03,USA1,New York RB,Columbus Crew,3,0,H,1819,44,4201,641,3,3,2018.0,3.0,5.0,0,0
2018-03-03,USA1,New York RB,Atlanta United FC,1,0,H,1819,44,4201,650,1,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Toronto FC,Columbus Crew,0,2,A,1819,44,655,641,2,-2,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Houston Dynamo,Atlanta United FC,4,0,H,1819,44,652,650,4,4,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Philadelphia Union,New England Revolution,2,0,H,1819,44,640,654,2,2,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Orlando City,D.C. United,1,1,D,1819,44,649,645,2,0,2018.0,3.0,5.0,0,0
2018-03-03,USA1,FC Dallas,Real Salt Lake,1,1,D,1819,44,643,662,2,0,2018.0,3.0,5.0,0,0
2018-03-03,USA1,San Jose Earthquakes,Minnesota United FC,3,2,H,1819,44,647,661,5,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Seattle Sounders,Los Angeles FC,0,1,A,1819,44,653,642,1,-1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Vancouver Whitecaps,Impact de Montréal,2,1,H,1819,44,663,35320,3,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Sporting Kansas City,New York City FC,0,2,A,1819,44,656,651,2,-2,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Los Angeles Galaxy,Portland Timbers,2,1,H,1819,44,1950,648,3,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Columbus Crew,Impact de Montréal,3,2,H,1819,44,641,35320,5,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,New England Revolution,Colorado Rapids,2,1,H,1819,44,654,659,3,1,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Real Salt Lake,Los Angeles FC,1,5,A,1819,44,662,642,6,-4,2018.0,3.0,5.0,0,0
2018-03-03,USA1,Chicago Fire,Sporting Kansas City,3,4,A,1819,44,658,656,7,-1,2018.0,3.0,5.0,0,0
