Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2016-01-10,DK1,Ingolstadt,Hoffenheim,1,2,A,1617,29,35264,35256,3,-1,2016.0,1.0,6.0,0,0
2016-01-10,DK1,Darmstadt,Werder Bremen,2,2,D,1617,29,35263,35245,4,0,2016.0,1.0,6.0,0,0
2016-01-10,DK1,Bayern Munich,FC Koln,1,1,D,1617,29,35240,35242,2,0,2016.0,1.0,6.0,0,0
2016-01-10,DK1,Leverkusen,Dortmund,2,0,H,1617,29,35252,35246,2,2,2016.0,1.0,6.0,0,0
2016-01-10,DK1,Hertha,Hamburg,2,0,H,1617,29,35249,35262,2,2,2016.0,1.0,6.0,0,0
2016-01-10,DK1,Freiburg,Ein Frankfurt,1,0,H,1617,29,35257,35241,1,1,2016.0,1.0,6.0,0,0
2016-02-10,DK1,Schalke 04,M'gladbach,4,0,H,1617,29,35255,35254,4,4,2016.0,2.0,2.0,0,0
2016-02-10,DK1,Wolfsburg,Mainz,0,0,D,1617,29,35248,35253,0,0,2016.0,2.0,2.0,0,0
2016-02-12,DK1,Mainz,Bayern Munich,1,3,A,1617,29,35253,35240,4,-2,2016.0,2.0,4.0,0,0
2016-03-12,DK1,Dortmund,M'gladbach,4,1,H,1617,29,35246,35254,5,3,2016.0,3.0,5.0,0,0
2016-03-12,DK1,RB Leipzig,Schalke 04,2,1,H,1617,29,35247,35255,3,1,2016.0,3.0,5.0,0,0
2016-03-12,DK1,Leverkusen,Freiburg,1,1,D,1617,29,35252,35257,2,0,2016.0,3.0,5.0,0,0
2016-03-12,DK1,Hoffenheim,FC Koln,4,0,H,1617,29,35256,35242,4,4,2016.0,3.0,5.0,0,0
2016-03-12,DK1,Wolfsburg,Hertha,2,3,A,1617,29,35248,35249,5,-1,2016.0,3.0,5.0,0,0
2016-03-12,DK1,Werder Bremen,Ingolstadt,2,1,H,1617,29,35245,35264,3,1,2016.0,3.0,5.0,0,0
2016-04-11,DK1,Hertha,M'gladbach,3,0,H,1617,29,35249,35254,3,3,2016.0,4.0,0.0,0,0
2016-04-12,DK1,Darmstadt,Hamburg,0,2,A,1617,29,35263,35262,2,-2,2016.0,4.0,1.0,0,0
2016-04-12,DK1,Augsburg,Ein Frankfurt,1,1,D,1617,29,35250,35241,2,0,2016.0,4.0,1.0,0,0
2016-05-11,DK1,Freiburg,Wolfsburg,0,3,A,1617,29,35257,35248,3,-3,2016.0,5.0,2.0,0,0
2016-05-11,DK1,Leverkusen,Darmstadt,3,2,H,1617,29,35252,35263,5,1,2016.0,5.0,2.0,0,0
2016-05-11,DK1,Ingolstadt,Augsburg,0,2,A,1617,29,35264,35250,2,-2,2016.0,5.0,2.0,0,0
2016-05-11,DK1,Hamburg,Dortmund,2,5,A,1617,29,35262,35246,7,-3,2016.0,5.0,2.0,0,0
2016-05-11,DK1,Ein Frankfurt,FC Koln,1,0,H,1617,29,35241,35242,1,1,2016.0,5.0,2.0,0,0
2016-05-11,DK1,Bayern Munich,Hoffenheim,1,1,D,1617,29,35240,35256,2,0,2016.0,5.0,2.0,0,0
2016-06-11,DK1,Schalke 04,Werder Bremen,3,1,H,1617,29,35255,35245,4,2,2016.0,6.0,5.0,0,0
2016-06-11,DK1,RB Leipzig,Mainz,3,1,H,1617,29,35247,35253,4,2,2016.0,6.0,5.0,0,0
2016-08-26,DK1,Bayern Munich,Werder Bremen,6,0,H,1617,29,35240,35245,6,6,2016.0,8.0,4.0,0,0
2016-08-27,DK1,M'gladbach,Leverkusen,2,1,H,1617,29,35254,35252,3,1,2016.0,8.0,5.0,0,0
2016-08-27,DK1,Ein Frankfurt,Schalke 04,1,0,H,1617,29,35241,35255,1,1,2016.0,8.0,5.0,0,0
2016-08-27,DK1,Dortmund,Mainz,2,1,H,1617,29,35246,35253,3,1,2016.0,8.0,5.0,0,0
2016-08-27,DK1,Augsburg,Wolfsburg,0,2,A,1617,29,35250,35248,2,-2,2016.0,8.0,5.0,0,0
2016-08-28,DK1,Hertha,Freiburg,2,1,H,1617,29,35249,35257,3,1,2016.0,8.0,6.0,0,0
2016-08-28,DK1,Hoffenheim,RB Leipzig,2,2,D,1617,29,35256,35247,4,0,2016.0,8.0,6.0,0,0
2016-09-09,DK1,Schalke 04,Bayern Munich,0,2,A,1617,29,35255,35240,2,-2,2016.0,9.0,4.0,0,0
