League Code,League Name,Country,Team ID,Team Name (Raw),Canonical Name,Created At
D2,2. Bundesliga,Germany,289,Ingolstadt,ingolstadt,2025-12-29T06:55:09.114658+03:00
D2,2. Bundesliga,Germany,290,Kaiserslautern,kaiserslautern,2025-12-29T06:55:09.118686+03:00
D2,2. Bundesliga,Germany,291,Karlsruhe,karlsruhe,2025-12-29T06:55:09.124374+03:00
D2,2. Bundesliga,Germany,292,Magdeburg,magdeburg,2025-12-29T06:55:09.130560+03:00
D2,2. Bundesliga,Germany,293,Nurnberg,nurnberg,2025-12-29T06:55:09.135214+03:00
D2,2. Bundesliga,Germany,294,Osnabruck,osnabruck,2025-12-29T06:55:09.140165+03:00
D2,2. Bundesliga,Germany,295,Paderborn,paderborn,2025-12-29T06:55:09.145235+03:00
D2,2. Bundesliga,Germany,296,PreuÃen MÃ¼nster,preuãen mã¼nster,2025-12-29T06:55:09.149831+03:00
D2,2. Bundesliga,Germany,297,Regensburg,regensburg,2025-12-29T06:55:09.156545+03:00
D2,2. Bundesliga,Germany,298,Sandhausen,sandhausen,2025-12-29T06:55:09.162948+03:00
D2,2. Bundesliga,Germany,299,Schalke 04,schalke 04,2025-12-29T06:55:09.167820+03:00
D2,2. Bundesliga,Germany,300,St Pauli,st pauli,2025-12-29T06:55:09.172434+03:00
D2,2. Bundesliga,Germany,301,Stuttgart,stuttgart,2025-12-29T06:55:09.177456+03:00
D2,2. Bundesliga,Germany,302,Ulm,ulm,2025-12-29T06:55:09.182282+03:00
D2,2. Bundesliga,Germany,303,Wehen,wehen,2025-12-29T06:55:09.189065+03:00
D2,2. Bundesliga,Germany,304,Werder Bremen,werder bremen,2025-12-29T06:55:09.194249+03:00
D2,2. Bundesliga,Germany,305,Wurzburger Kickers,wurzburger kickers,2025-12-29T06:55:09.199308+03:00
DK1,Superliga,Denmark,638,Augsburg,augsburg,2025-12-29T06:55:10.718664+03:00
DK1,Superliga,Denmark,639,Bayern Munich,bayern munich,2025-12-29T06:55:10.727364+03:00
DK1,Superliga,Denmark,640,Bielefeld,bielefeld,2025-12-29T06:55:10.731111+03:00
DK1,Superliga,Denmark,641,Bochum,bochum,2025-12-29T06:55:10.734602+03:00
DK1,Superliga,Denmark,642,Darmstadt,darmstadt,2025-12-29T06:55:10.738033+03:00
DK1,Superliga,Denmark,643,Dortmund,dortmund,2025-12-29T06:55:10.742016+03:00
DK1,Superliga,Denmark,644,Ein Frankfurt,ein frankfurt,2025-12-29T06:55:10.745337+03:00
DK1,Superliga,Denmark,645,FC Koln,fc koln,2025-12-29T06:55:10.749550+03:00
DK1,Superliga,Denmark,646,Fortuna Dusseldorf,fortuna dusseldorf,2025-12-29T06:55:10.752734+03:00
DK1,Superliga,Denmark,647,Freiburg,freiburg,2025-12-29T06:55:10.756378+03:00
DK1,Superliga,Denmark,648,Greuther Furth,greuther furth,2025-12-29T06:55:10.760008+03:00
DK1,Superliga,Denmark,649,Hamburg,hamburg,2025-12-29T06:55:10.763360+03:00
DK1,Superliga,Denmark,650,Heidenheim,heidenheim,2025-12-29T06:55:10.766757+03:00
DK1,Superliga,Denmark,651,Hertha,hertha,2025-12-29T06:55:10.771721+03:00
DK1,Superliga,Denmark,652,Holstein Kiel,holstein kiel,2025-12-29T06:55:10.776335+03:00
DK1,Superliga,Denmark,653,Leverkusen,leverkusen,2025-12-29T06:55:10.781940+03:00
DK1,Superliga,Denmark,655,Mainz,mainz,2025-12-29T06:55:10.790829+03:00
DK1,Superliga,Denmark,654,M'gladbach,mgladbach,2025-12-29T06:55:10.785680+03:00
DK1,Superliga,Denmark,656,Paderborn,paderborn,2025-12-29T06:55:10.794957+03:00
DK1,Superliga,Denmark,657,RB Leipzig,rb leipzig,2025-12-29T06:55:10.798938+03:00
