Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2018-03-02,CHN1,Shanghai Shenhua,Tianjin Quanjian FC,1,1,D,1819,45,9593,9645,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Hebei China Fortune,4,4,D,1819,45,9640,9636,8,0,2018.0,3.0,4.0,1,0
2018-03-02,CHN1,Guizhou Hengfeng,Dalian Yingbo,3,0,H,1819,45,9646,9600,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Beijing Renhe FC,6,1,H,1819,45,9634,9644,7,5,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Beijing Guoan,0,3,A,1819,45,9622,9596,3,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Guizhou Hengfeng,5,0,H,1819,45,9605,9646,5,5,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Guangzhou Evergrande,0,3,A,1819,45,9636,9634,3,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Changchun Yatai,3,3,D,1819,45,9641,9594,6,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Shanghai Shenhua,0,1,A,1819,45,9640,9593,1,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Jiāngsū Sūníng,3,1,H,1819,45,9600,9639,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Tianjin Quanjian FC,3,2,H,1819,45,9601,9645,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Henan Jianye,1,0,H,1819,45,9644,9638,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guizhou Hengfeng,Tianjin Teda,1,0,H,1819,45,9646,9641,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Guangzhou City,3,1,H,1819,45,9593,9622,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Beijing Renhe FC,1,1,D,1819,45,9601,9644,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Chongqing Lifan,0,3,A,1819,45,9645,9640,3,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Shanghai Port FC,0,1,A,1819,45,9596,9605,1,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Hebei China Fortune,2,0,H,1819,45,9638,9636,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Dalian Yingbo,3,0,H,1819,45,9634,9600,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Jiāngsū Sūníng,2,5,A,1819,45,9594,9639,7,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Chongqing Lifan,1,1,D,1819,45,9622,9640,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Beijing Renhe FC,2,2,D,1819,45,9641,9644,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Changchun Yatai,3,1,H,1819,45,9605,9594,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Tianjin Quanjian FC,2,0,H,1819,45,9636,9645,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Guangzhou Evergrande,2,3,A,1819,45,9639,9634,5,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guizhou Hengfeng,Beijing Guoan,3,2,H,1819,45,9646,9596,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Shandong Taishan,1,4,A,1819,45,9638,9601,5,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Shanghai Shenhua,2,1,H,1819,45,9600,9593,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Hebei China Fortune,0,2,A,1819,45,9644,9636,2,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Guangzhou City,2,1,H,1819,45,9601,9622,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Jiāngsū Sūníng,1,1,D,1819,45,9593,9639,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Henan Jianye,1,0,H,1819,45,9640,9638,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Guizhou Hengfeng,3,0,H,1819,45,9594,9646,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Beijing Guoan,1,0,H,1819,45,9634,9596,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Shanghai Port FC,2,5,A,1819,45,9641,9605,7,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Dalian Yingbo,0,1,A,1819,45,9645,9600,1,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Changchun Yatai,1,1,D,1819,45,9638,9594,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Tianjin Quanjian FC,1,1,D,1819,45,9639,9645,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Shanghai Shenhua,2,1,H,1819,45,9634,9593,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Shanghai Port FC,1,1,D,1819,45,9636,9605,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Tianjin Teda,2,0,H,1819,45,9622,9641,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Shandong Taishan,4,3,H,1819,45,9600,9601,7,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Chongqing Lifan,2,1,H,1819,45,9596,9640,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Guangzhou City,2,0,H,1819,45,9639,9622,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Beijing Renhe FC,1,3,A,1819,45,9593,9644,4,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Hebei China Fortune,2,2,D,1819,45,9594,9636,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Beijing Guoan,2,5,A,1819,45,9641,9596,7,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Guangzhou Evergrande,1,4,A,1819,45,9601,9634,5,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Henan Jianye,2,1,H,1819,45,9605,9638,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Dalian Yingbo,1,1,D,1819,45,9640,9600,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Guizhou Hengfeng,1,0,H,1819,45,9645,9646,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Tianjin Quanjian FC,5,0,H,1819,45,9634,9645,5,5,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Shanghai Shenhua,4,1,H,1819,45,9636,9593,5,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Beijing Guoan,3,0,H,1819,45,9644,9596,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Changchun Yatai,5,2,H,1819,45,9622,9594,7,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Shanghai Port FC,2,3,A,1819,45,9640,9605,5,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guizhou Hengfeng,Shandong Taishan,3,1,H,1819,45,9646,9601,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Jiāngsū Sūníng,1,1,D,1819,45,9641,9639,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Henan Jianye,2,1,H,1819,45,9600,9638,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Guizhou Hengfeng,3,1,H,1819,45,9593,9646,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Guangzhou Evergrande,0,5,A,1819,45,9638,9634,5,-5,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Tianjin Teda,0,0,D,1819,45,9645,9641,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Chongqing Lifan,0,0,D,1819,45,9639,9640,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Changchun Yatai,1,3,A,1819,45,9644,9594,4,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Hebei China Fortune,3,1,H,1819,45,9601,9636,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Guangzhou City,3,1,H,1819,45,9605,9622,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Dalian Yingbo,5,2,H,1819,45,9596,9600,7,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Tianjin Quanjian FC,3,3,D,1819,45,9644,9645,6,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Shanghai Shenhua,2,0,H,1819,45,9605,9593,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Shandong Taishan,0,2,A,1819,45,9640,9601,2,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Guizhou Hengfeng,1,0,H,1819,45,9636,9646,1,1,2018.0,3.0,4.0,0,0
