Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2020-01-01,AUS1,Central Coast Mariners,Melbourne City FC,2,4,A,1920,48,9679,9670,6,-2,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Western Sydney Wanderers,Sydney FC,1,1,D,1920,48,9672,9673,2,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Melbourne Victory,Brisbane Roar,1,2,A,1920,48,9675,9671,3,-1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Western United,Western Sydney Wanderers,5,3,H,1920,48,9674,9672,8,2,2020.0,1.0,2.0,1,0
2020-01-01,AUS1,Brisbane Roar,Sydney FC,1,1,D,1920,48,9671,9673,2,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Melbourne City FC,Adelaide United,2,2,D,1920,48,9670,9677,4,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Newcastle United Jets,Melbourne City FC,2,1,H,1920,48,9678,9670,3,1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Adelaide United,Western United,1,5,A,1920,48,9677,9674,6,-4,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Brisbane Roar,Western Sydney Wanderers,3,1,H,1920,48,9671,9672,4,2,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Sydney FC,Wellington Phoenix,3,1,H,1920,48,9673,9681,4,2,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Western United,Central Coast Mariners,6,2,H,1920,48,9674,9679,8,4,2020.0,1.0,2.0,1,0
2020-01-01,AUS1,Melbourne City FC,Western Sydney Wanderers,1,1,D,1920,48,9670,9672,2,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Perth Glory,Melbourne City FC,2,3,A,1920,48,9676,9670,5,-1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Central Coast Mariners,Wellington Phoenix,1,3,A,1920,48,9679,9681,4,-2,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Melbourne Victory,Sydney FC,1,4,A,1920,48,9675,9673,5,-3,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Wellington Phoenix,Adelaide United,1,1,D,1920,48,9681,9677,2,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Melbourne Victory,Central Coast Mariners,2,3,A,1920,48,9675,9679,5,-1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Western Sydney Wanderers,Perth Glory,1,3,A,1920,48,9672,9676,4,-2,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Sydney FC,Western United,1,2,A,1920,48,9673,9674,3,-1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Perth Glory,Wellington Phoenix,1,2,A,1920,48,9676,9681,3,-1,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Adelaide United,Sydney FC,1,1,D,1920,48,9677,9673,2,0,2020.0,1.0,2.0,0,0
2020-01-01,AUS1,Western Sydney Wanderers,Melbourne Victory,2,1,H,1920,48,9672,9675,3,1,2020.0,1.0,2.0,0,0
