Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2019-08-16,SP1,Ath Bilbao,Barcelona,1,0,H,5.07,3.81,1.71,1920,2,180,182,0.1888352680318247,0.2512847267510108,0.5598800052171645,1,1,0.044501172015597,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-17,SP1,Villarreal,Granada,4,4,D,1.61,3.95,5.8,1920,2,202,191,0.5934080165770899,0.2418701029592695,0.1647218804636405,8,0,0.0466963624878338,2019.0,8.0,5.0,0,0,0,1,0,medium,0,0,0,strong,medium
2019-08-17,SP1,Celta,Ath Madrid,1,3,A,4.67,4.12,1.69,1920,2,185,181,0.2042146324294994,0.2314762945256705,0.5643090730448299,4,-2,0.0485671852459366,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-17,SP1,Valencia,Sociedad,1,1,D,1.68,3.8,5.29,1920,2,200,199,0.5682833331448667,0.2512410525482568,0.1804756143068764,2,0,0.047431906799134,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-17,SP1,Mallorca,Eibar,2,1,H,2.91,3.09,2.62,1920,2,195,186,0.3276073470676071,0.3085234239374552,0.3638692289949376,3,1,0.0489465964660815,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-17,SP1,Leganes,Osasuna,0,1,A,2.06,3.18,4.02,1920,2,194,196,0.4629122669795333,0.2998739842697606,0.2372137487507061,1,-1,0.0486585209143874,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-18,SP1,Betis,Valladolid,1,2,A,1.64,3.76,5.78,1920,2,183,201,0.5814267063330695,0.2536010102091047,0.1649722834578259,3,-1,0.0487239249923234,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-18,SP1,Alaves,Leganes,1,0,H,2.23,3.25,3.43,1920,2,178,194,0.4280272923794056,0.293692572924946,0.2782801346956485,1,1,0.0476679904702233,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-18,SP1,Espanol,Sevilla,0,2,A,3.08,3.41,2.33,1920,2,188,198,0.310066537883666,0.2800600987336338,0.4098733633827002,2,-2,0.0471150059963572,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-18,SP1,Ath Madrid,Getafe,1,0,H,1.47,4.23,7.63,1920,2,181,189,0.6492754847703942,0.2256347429343922,0.1250897722952135,1,1,0.0477403271803873,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2019-08-23,SP1,Granada,Sevilla,0,1,A,3.95,3.58,1.94,1920,2,191,198,0.2415788961084134,0.266546547382188,0.4918745565093986,1,-1,0.047958083426346,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-23,SP1,Leganes,Villarreal,2,1,H,2.59,3.54,2.63,1920,2,194,202,0.3681303256163381,0.2693382890808801,0.3625313853027817,3,1,0.0488143986887301,2019.0,8.0,4.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-24,SP1,Celta,Valencia,1,0,H,3.17,3.45,2.26,1920,2,185,200,0.3010692069179888,0.2766346046173984,0.4222961884646127,1,1,0.0477903618191741,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-24,SP1,Osasuna,Eibar,0,0,D,2.53,3.12,2.99,1920,2,196,186,0.3763570566948131,0.3051869722557297,0.3184559710494572,0,0,0.0502178980439849,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-24,SP1,Ath Madrid,Valladolid,1,1,D,1.21,6.97,13.16,1920,2,181,201,0.7901725066224452,0.1371748540908405,0.0726526392867141,2,0,0.045906145892548,2019.0,8.0,5.0,0,0,0,0,0,low,0,0,0,strong,medium
2019-08-24,SP1,Getafe,Ath Bilbao,1,1,D,2.61,2.94,3.06,1920,2,189,180,0.3648707840560666,0.323915900131406,0.3112133158125273,2,0,0.050075202494791,2019.0,8.0,5.0,0,0,0,0,0,medium,0,0,0,medium,medium
2019-08-25,SP1,Leganes,Ath Madrid,0,1,A,5.18,3.29,1.81,1920,2,194,181,0.1839470668367678,0.2896187860834216,0.5264341470798106,1,-1,0.0494877486766518,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,SP1,Alaves,Espanol,0,0,D,2.52,3.18,2.97,1920,2,178,188,0.3786533881792596,0.3000649491231869,0.3212816626975536,0,0,0.0479911423307648,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,SP1,Mallorca,Sociedad,0,1,A,3.02,3.23,2.44,1920,2,195,199,0.3151900050390728,0.2946977756092878,0.3901122193516392,1,-1,0.0505594166081544,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2019-08-25,SP1,Barcelona,Betis,5,2,H,1.27,6.07,10.56,1920,2,182,183,0.7521676427757563,0.1573728017010231,0.0904595555232207,7,3,0.0468431902991306,2019.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
